State,City,Zip,Phone,Type of Ownership,Offers Nursing Care Services,Offers Physical Therapy Services,Offers Occupational Therapy Services,Offers Speech Pathology Services,Offers Medical Social Services,Offers Home Health Aide Services,Date Certified,How often the home health team began their patients care in a timely manner,How often the home health team taught patients (or their family caregivers) about their drugs,How often the home health team checked patients risk of falling,How often the home health team checked patients for depression,How often the home health team made sure that their patients have received a flu shot for the current flu season.,How often the home health team made sure that their patients have received a pneumococcal vaccine (pneumonia shot).,With diabetes - how often the home health team got doctors orders and gave foot care and taught patients about foot care,How often the home health team checked patients for pain,How often the home health team treated their patients pain,How often the home health team took doctor-ordered action to prevent pressure sores (bed sores),How often the home health team checked patients for the risk of developing pressure sores (bed sores),Count of non-reported behaviours,How often patients got better at walking or moving around,How often patients got better at getting in and out of bed,How often patients got better at bathing,How often patients had less pain when moving around,How often patients breathing improved,How often patients wounds improved or healed after an operation,How often patients got better at taking their drugs correctly by mouth,How often patients receiving home health care needed urgent unplanned care in the ER without being admitted,How often home health patients had to be admitted to the hospital,Count of non-reported outcomes,Non-trad Chronic,Lbl: Poor Hosp Rating 1SD,Lbl: Poor Hosp Rating 2SD,Lbl: Poor ER Rating 1SD,Lbl: Poor ER Rating 2SD,Lbl: Poor Pain Rating 1SD,Lbl: Poor Pain Rating 2SD,Lbl: Poor Drugs Rating 1SD,Lbl: Poor Drugs Rating 2SD
AL,BESSEMER,35020,2059169500,State/County,1,1,1,1,1,1,10/01/1972,95,95,100,100,59,67,99,99,100,99,99,0,62,53,64,74,53,100,43,17,19,0,0,0,0,1,0,0,0,0,0
AL,BIRMINGHAM,35216,2058242680,Proprietary,1,1,1,1,1,1,01/18/1973,93,97,100,100,76,81,98,100,99,98,100,0,71,64,77,72,74,91,64,11,18,0,0,0,0,0,0,0,0,0,0
AL,ENTERPRISE,36330,3343470234,Proprietary,1,1,1,0,0,1,07/24/1975,98,95,100,100,69,69,97,100,99,98,100,0,59,48,62,64,58,84,46,13,15,0,0,0,0,0,0,0,0,0,0
AL,ONEONTA,35121,2052744919,Proprietary,1,1,1,1,1,0,09/04/1975,93,94,96,96,94,96,93,99,95,89,96,0,67,53,74,67,74,97,65,16,18,0,0,0,0,0,0,0,0,0,0
AL,ENTERPRISE,36330,3347940591,Proprietary,1,1,1,1,1,1,06/09/1976,99,98,100,99,74,78,98,100,99,97,99,0,69,54,74,74,64,89,55,14,17,0,0,0,0,0,0,0,0,0,0
AL,RAINBOW CITY,35906,2564421138,Proprietary,1,1,1,1,1,1,01/01/1977,93,87,100,99,78,80,89,100,95,94,99,0,74,63,79,66,70,97,60,13,17,0,0,0,0,0,0,0,0,0,0
AL,MOBILE,36609,2513800492,Proprietary,1,1,1,1,1,1,05/23/1977,94,86,93,98,71,64,95,100,99,99,100,0,71,58,76,71,78,90,63,8,19,0,0,0,0,0,0,0,0,0,0
AL,DOTHAN,36301,3347940591,Proprietary,1,1,1,1,1,1,06/01/1978,98,98,100,99,83,83,99,100,100,99,99,0,72,59,77,73,69,97,69,12,17,0,0,0,0,0,0,0,0,0,0
AL,MOBILE,36609,2513439600,Proprietary,1,1,1,1,1,1,12/28/1978,92,95,99,90,47,43,97,98,99,98,99,0,68,56,72,62,71,93,59,7,19,0,0,0,0,0,0,0,0,0,0
AL,BIRMINGHAM,35244,2057397800,Proprietary,1,1,1,1,1,1,03/29/1979,85,95,99,99,71,73,90,100,99,87,99,0,63,60,64,76,71,88,57,10,17,0,0,0,0,0,0,0,0,0,0
AL,DECATUR,35603,2563504182,Proprietary,1,1,1,1,1,1,07/25/1979,98,94,100,99,86,84,96,100,97,96,100,0,74,66,81,72,69,97,66,13,14,0,0,0,0,0,0,0,0,0,0
AL,FULTONDALE,35068,2057837900,Proprietary,1,1,1,1,1,1,06/01/1979,88,91,99,89,84,88,90,99,94,96,99,0,60,54,68,61,69,98,57,9,17,0,0,0,0,0,0,0,0,0,0
AL,FAIR HOPE,36532,2516214431,Religious Affiliations,1,1,1,1,1,1,05/26/1981,97,96,95,99,69,71,99,99,100,99,100,0,67,60,74,76,69,87,54,10,15,0,0,0,0,0,0,0,0,0,0
AL,MOBILE,36609,2514503300,Proprietary,1,1,1,1,1,1,08/20/1981,93,82,100,97,68,64,83,99,93,82,99,0,68,60,75,77,70,89,62,6,21,0,0,1,0,0,0,0,0,0,0
AL,MONTGOMERY,36109,3343955100,Proprietary,1,1,1,1,0,1,10/01/1981,84,36,100,75,42,38,75,94,87,72,98,0,62,59,72,66,64,91,61,10,20,0,0,1,0,0,0,0,0,0,0
AL,HUNTSVILLE,35806,2569229919,Proprietary,1,1,1,1,1,1,08/05/1982,92,99,73,100,53,49,94,95,100,99,100,0,69,58,76,81,81,95,64,12,16,0,0,0,0,0,0,0,0,0,0
AL,VESTAVIA HILLS,35216,2059793180,Proprietary,1,1,1,1,1,1,08/04/1982,89,70,100,97,80,68,94,99,96,93,98,0,48,49,58,56,62,,44,8,15,1,1,0,0,0,0,0,0,0,0
AL,GENEVA,36340,3346843919,Proprietary,1,1,1,1,0,1,12/08/1983,99,94,100,100,70,67,91,99,99,90,100,0,57,47,69,73,66,88,51,14,17,0,1,0,0,0,0,0,0,0,0
AL,HUNTSVILLE,35816,2565394457,Proprietary,1,1,1,0,1,1,10/19/1983,77,98,100,100,87,77,100,100,100,100,99,0,60,43,58,68,57,99,57,13,11,0,1,0,0,0,0,0,0,0,0
AL,HOMEWOOD,35209,2058680147,Proprietary,1,1,1,1,1,1,06/01/1984,86,85,95,100,70,71,95,100,98,99,100,0,58,52,70,71,77,90,54,12,16,0,0,0,0,0,0,0,0,0,0
AL,FOLEY,36535,2519433002,Proprietary,1,1,1,1,1,1,09/20/1984,94,92,100,99,76,77,96,99,98,94,98,0,66,66,75,70,72,89,61,14,14,0,0,0,0,0,0,0,0,0,0
AL,DOTHAN,36305,3347935758,Proprietary,1,1,1,1,1,1,08/20/1984,95,94,93,98,66,66,93,100,99,95,100,0,72,68,75,62,75,89,58,14,17,0,0,0,0,0,0,0,0,0,0
AL,BIRMINGHAM,35235,2058360777,Proprietary,1,1,1,1,1,1,09/04/1984,94,90,100,99,73,82,98,99,99,98,100,0,63,58,69,70,67,80,52,11,17,0,0,0,0,0,0,0,0,0,0
AL,PRATTVILLE,36066,3343619806,Proprietary,1,1,1,1,1,1,06/08/1984,96,92,100,100,88,82,74,100,99,84,100,0,70,72,80,75,81,93,68,12,17,0,1,0,0,0,0,0,0,0,0
AL,PIKE ROAD,36064,3342701151,Proprietary,1,1,1,1,1,1,12/03/1984,87,97,100,96,75,68,72,99,91,79,100,0,69,60,75,80,75,92,64,11,17,0,0,0,0,0,0,0,0,0,0
AL,DAPHNE,36526,2516210882,Proprietary,1,1,1,1,1,1,10/25/1984,92,90,100,99,52,59,83,99,98,88,96,0,62,55,80,73,68,82,57,9,19,0,0,0,0,0,0,0,0,0,0
AL,MOUNTAIN BROOK,35213,2058773403,Proprietary,1,1,1,1,1,1,12/05/1985,82,72,94,99,67,71,87,98,94,94,98,0,61,54,65,61,50,98,53,11,18,0,0,0,0,0,0,0,0,0,0
