State,City,Type of Ownership,Offers Nursing Care Services,Offers Physical Therapy Services,Offers Occupational Therapy Services,Offers Speech Pathology Services,Offers Medical Social Services,Offers Home Health Aide Services,How often the home health team began their patients care in a timely manner,How often the home health team taught patients (or their family caregivers) about their drugs,How often the home health team checked patients risk of falling,How often the home health team checked patients for depression,How often the home health team made sure that their patients have received a flu shot for the current flu season.,How often the home health team made sure that their patients have received a pneumococcal vaccine (pneumonia shot).,With diabetes - how often the home health team got doctors orders and gave foot care and taught patients about foot care,How often the home health team checked patients for pain,How often the home health team treated their patients pain,How often the home health team took doctor-ordered action to prevent pressure sores (bed sores),How often the home health team checked patients for the risk of developing pressure sores (bed sores),Count of non-reported behaviours,Count of non-reported outcomes,Non-trad Chronic,Lbl: Poor Hosp Rating 1SD
CA,PASADENA,Proprietary,1,1,1,1,1,1,96,100,100,100,96,100,94,100,95,95,100,2,7,1,FALSE
WA,COUPEVILLE,Local,1,1,1,1,1,1,85,86,100,93,73,82,78,94,97,95,100,0,0,0,FALSE
OH,PORTSMOUTH,Proprietary,1,1,1,0,0,1,99,66,100,88,44,42,80,99,92,84,94,0,1,1,FALSE
IL,SCHILLER PARK,Proprietary,1,1,1,0,1,1,100,94,100,98,30,25,96,100,100,95,100,1,1,1,FALSE
CA,SAN RAMON,Proprietary,1,1,1,1,1,1,92,95,100,100,92,89,96,100,100,98,100,0,0,1,FALSE
CA,BURBANK,Proprietary,1,1,1,1,1,1,95,99,100,100,25,20,98,100,100,100,100,0,1,1,FALSE
OH,TOLEDO,Other,1,1,1,1,1,1,86,82,99,97,75,70,94,100,97,92,99,0,0,0,FALSE
IL,LINCOLNWOOD,Proprietary,1,1,1,1,1,1,100,100,99,100,59,68,100,100,100,100,100,0,1,1,FALSE
PR,MAYAGUEZ,Proprietary,1,1,1,1,1,1,81,98,99,100,12,12,100,100,100,100,99,0,0,1,FALSE
OH,COLUMBUS,Proprietary,1,1,0,0,0,1,94,100,98,97,74,75,100,92,100,100,81,0,1,1,FALSE
NC,EDENTON,Local,1,1,1,1,1,1,90,97,99,97,67,71,96,99,100,100,98,0,0,0,TRUE
GA,RINGGOLD,Proprietary,1,1,1,1,1,1,89,60,100,95,62,57,85,99,95,89,99,0,0,0,FALSE
AL,MOBILE,Proprietary,1,1,1,1,1,1,93,82,100,97,68,64,83,99,93,82,99,0,0,0,TRUE
CA,BURBANK,Proprietary,1,1,1,1,1,1,99,94,100,100,55,60,97,100,99,95,99,1,1,1,FALSE
UT,OGDEN,Proprietary,1,1,1,1,1,1,92,97,99,90,79,91,98,97,100,100,100,0,1,1,FALSE
OH,INDEPENDENCE,Proprietary,1,1,1,1,1,1,80,98,96,99,83,89,99,99,100,100,100,0,0,0,FALSE
OK,ARDMORE,Proprietary,1,1,1,1,1,1,96,88,100,100,81,83,94,100,99,99,99,0,0,1,FALSE
SC,FLORENCE,Proprietary,1,1,0,0,0,1,89,85,82,91,81,64,78,93,92,90,96,0,1,1,FALSE
TX,WICHITA FALLS,Proprietary,1,1,1,1,1,1,100,96,100,100,74,79,96,100,98,99,99,0,0,0,FALSE
OK,EDMOND,Proprietary,1,1,1,1,1,1,88,100,100,100,0,0,100,100,100,100,100,0,2,1,FALSE
TX,DALLAS,Proprietary,1,1,1,1,1,1,85,98,99,63,83,90,89,97,99,96,96,0,1,1,FALSE
TX,HOUSTON,Proprietary,1,1,1,1,1,1,92,91,87,97,47,48,87,99,99,83,92,0,0,0,FALSE
CA,PALM SPRINGS,Proprietary,1,1,1,1,1,1,99,89,100,100,63,64,86,98,99,97,99,0,0,1,FALSE
FL,MIAMI,Proprietary,1,1,1,0,1,1,99,100,100,100,88,50,76,99,99,95,84,1,2,1,FALSE
CA,QUINCY,Proprietary,1,1,1,0,0,1,76,89,100,95,75,83,96,95,99,99,98,0,0,0,FALSE
PA,WAYNESBURG,Proprietary,1,1,1,1,1,1,95,91,100,100,74,82,84,99,92,89,97,0,0,0,TRUE
CO,COLORADO SPRINGS,Proprietary,1,1,1,1,1,1,92,82,100,100,67,65,88,98,99,98,99,0,1,1,FALSE
MO,COLUMBIA,Private,1,1,1,1,1,1,89,100,99,100,82,74,100,99,100,98,100,0,0,0,FALSE
MI,WESTLAND,Proprietary,1,1,1,1,1,1,94,100,100,100,80,83,100,100,100,100,100,0,1,1,FALSE
AL,FAIRHOPE,Proprietary,1,1,1,1,1,1,93,90,100,97,66,61,94,100,97,93,98,0,0,0,FALSE
CA,VAN NUYS,Proprietary,1,1,1,1,1,1,97,94,100,100,81,54,96,100,99,100,100,0,0,1,FALSE
OH,YOUNGSTOWN,Proprietary,1,1,1,1,1,1,95,95,99,100,66,63,99,99,100,98,99,0,0,0,FALSE
TX,HOUSTON,Proprietary,1,1,1,1,1,1,88,97,99,96,83,80,100,100,98,100,99,0,1,1,FALSE
TX,HOUSTON,Proprietary,1,1,1,1,1,1,62,94,99,99,64,95,84,100,98,95,100,1,1,1,FALSE
KS,GREAT BEND,Religious Affiliations,1,1,1,1,1,1,98,96,100,100,72,84,99,100,100,100,100,0,0,0,FALSE
AR,NEWPORT,Local,1,1,0,0,0,1,85,91,99,100,88,82,89,100,95,97,99,0,1,1,TRUE
MA,WESTBORO,Proprietary,1,1,1,1,1,1,89,78,99,99,78,75,96,98,99,99,97,0,0,0,FALSE
IL,GLENVIEW,Proprietary,1,1,1,1,1,1,97,100,100,98,42,37,98,100,100,100,99,0,1,1,FALSE
OH,BEACHWOOD,Proprietary,1,1,1,1,1,1,83,59,90,98,74,82,84,97,94,87,97,0,0,0,FALSE
CA,BURBANK,Proprietary,1,1,1,1,1,1,92,71,100,98,71,44,100,98,100,100,98,1,1,1,FALSE
MI,GRAND RAPIDS,Proprietary,1,1,1,1,1,1,83,91,100,98,91,97,83,95,100,93,99,0,1,1,FALSE
FL,HIALEAH,Proprietary,1,1,1,0,0,1,96,100,100,100,92,100,100,99,100,100,99,0,1,1,FALSE
NC,FAYETTEVILLE,Proprietary,1,1,1,1,1,1,77,81,99,93,63,53,94,98,98,97,96,0,0,0,FALSE
VA,VIRGINIA BEACH,Proprietary,1,1,1,1,1,1,98,77,99,96,74,87,82,94,93,92,98,0,1,1,FALSE
NM,RUIDOSO,Proprietary,1,1,1,1,1,1,90,98,100,99,81,85,98,99,100,99,98,0,0,1,FALSE
TX,WESLACO,Proprietary,1,1,1,1,1,1,91,99,100,98,62,51,99,100,100,100,99,0,1,1,FALSE
IL,HAZEL CREST,Proprietary,1,1,1,0,1,1,90,100,99,100,70,61,98,99,100,98,100,0,1,1,FALSE
MO,BOONVILLE,Other,1,1,1,1,1,1,97,91,100,100,92,97,74,97,96,91,100,0,0,1,FALSE
TX,SHERMAN,Proprietary,1,1,1,1,1,1,92,97,96,98,73,82,96,99,98,91,99,0,0,0,FALSE
TX,LUBBOCK,Proprietary,1,1,1,1,1,1,92,94,99,97,80,81,96,99,100,100,99,0,0,0,FALSE
AR,EL DORADO,Proprietary,1,1,1,1,0,1,95,99,100,100,53,61,99,100,99,100,100,0,0,0,FALSE
IL,LINCOLNWOOD,Proprietary,1,1,1,1,1,1,99,99,100,100,69,70,100,100,100,100,94,0,1,1,FALSE
KS,CONCORDIA,State/County,1,1,1,1,0,1,92,84,95,88,71,67,94,88,98,95,96,4,7,1,TRUE
TX,EL PASO,Proprietary,1,1,1,1,1,1,87,99,100,99,100,100,100,99,100,100,96,0,1,1,FALSE
